,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
145,NRL PL121,1962-12-13,0.6,232.0,2492.0,70.31,1962-067E,22.79,0.6,0.6,0.6,True,,23,0,19,35,0,4
147,Kosmos-12,1962-12-22,6.5,199.0,387.0,64.92,1962-072A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,1
152,[Luna-4],1963-01-04,2.6,178.0,194.0,64.75,1963-001B,1470.0,1.5,2.6,2.6,True,7.0,1,1,1,41,1,9
154,OPS 0048,1963-01-07,2.3,178.0,312.0,82.24,1963-002A,1269.0,1.5,7.99,7.99,True,17.0,11,0,3,19,1,15
155,OPS 0180,1963-01-16,4.0,459.0,533.0,81.89,1963-003A,1176.0,1.5,7.99,7.99,True,,16,0,13,26,1,16
157,OPS 0240,1963-02-19,0.5,504.0,791.0,100.48,1963-005A,39.64,0.6,0.5,0.5,True,6154.0,16,0,8,42,10,17
159,Syncom 1,1963-02-14,0.4,34181.0,37015.0,33.51,1963-004A,38.65,0.71,0.39,0.71,True,,2,0,21,43,11,2
160,Kosmos-13,1963-03-21,6.5,201.0,318.0,64.95,1963-006A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,18
162,OPS 0720,1963-04-01,2.3,198.0,381.0,75.25,1963-007A,1275.0,1.5,7.99,7.99,True,25.0,11,0,3,19,1,15
164,Explorer 17,1963-04-03,1.8,246.0,914.0,57.61,1963-009A,183.35,0.9,0.9,1.8,True,,2,0,22,44,1,19
166,Luna-4,1963-04-02,2.6,,694000.0,,1963-008B,1409.32,1.5,2.6,2.6,True,,1,1,1,41,7,9
167,Kosmos-14,1963-04-13,3.0,262.0,445.0,48.95,1963-010A,351.83,1.2,2.0,3.0,True,138.0,25,1,23,45,1,20
169,Kosmos-15,1963-04-22,6.5,160.0,357.0,64.97,1963-011A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,18
171,Kosmos-16,1963-04-28,6.5,195.0,384.0,65.04,1963-012A,4707.63,2.4,4.3,4.3,True,,1,1,1,24,1,18
173,Telstar 2,1963-05-07,1.5,972.0,10804.0,42.72,1963-013A,78.69,0.9,0.9,1.5,True,,21,0,17,28,4,19
174,Midas 7,1963-05-09,2.0,3569.0,3714.0,87.38,1963-014A,1540.0,1.5,2.0,2.0,True,,7,0,3,10,4,9
176,Faith Seven,1963-05-15,2.9,163.0,265.0,32.54,1963-015A,1357.78,1.83,2.9,2.9,True,1.975,13,0,11,14,1,0
178,OPS 0924,1963-05-18,3.8,158.0,491.0,74.64,1963-016A,1585.0,1.52,7.08,7.08,True,9.0,11,0,3,46,1,15
179,TRS 5,1963-05-09,0.2,3604.0,3681.0,87.35,1963-014B,1.0,0.2,0.2,0.2,True,17718.0,7,0,4,47,4,21
