,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
45,1962-01-26,5.2,275.0,29.54,327.06,1.53,3.13,5.18,2.0,8,0,5,17,3,6,1203.0
49,1962-02-20,2.9,149.0,32.54,1339.94,1.83,2.9,2.9,0.8215277777777777,13,0,11,14,1,10,1228.0
51,1962-02-21,4.0,169.0,81.94,991.08,1.5,7.99,7.99,16.0,16,0,13,18,1,2,1229.0
52,1962-02-27,2.3,207.0,82.23,941.53,1.52,7.61,7.61,22.0,11,0,3,19,1,3,1235.0
53,1962-03-07,2.3,546.0,32.83,206.14,1.12,0.94,1.12,7155.0,2,0,14,20,1,8,1243.0
58,1962-03-16,1.2,208.0,49.02,312.19,1.2,1.8,1.8,70.0,17,1,15,21,1,11,1252.0
60,1962-04-06,1.8,218.0,48.95,282.46,1.2,1.8,1.8,501.0,1,1,1,22,0,11,1273.0
63,1962-04-18,2.3,201.0,73.5,1139.74,1.5,7.99,7.99,40.0,11,0,3,19,1,2,1285.0
65,1962-04-24,1.8,226.0,49.0,327.06,1.2,1.8,1.8,176.0,1,1,1,22,1,11,1291.0
69,1962-04-26,3.0,397.0,53.86,59.46,0.58,0.53,0.58,5142.0,18,2,16,23,0,12,1293.0
