,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
46,AISSat-1 (Automatic Identification System Satellite-1),AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,615,632,0.001215414313290913,98.0,97.2,6.0,,,2010-07-12,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
47,AISSat-2 (Automatic Identification System Satellite-2),AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,625,631,0.00042869391254644185,98.4,97.27,6.0,,,2014-07-08,3.0,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.
48,AIST-1,AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Polar,0.0,599,626,0.001933404940923738,82.4,96.9,,,,2013-12-28,,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
49,AIST-2,AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Non-Polar Inclined,0.0,558,582,0.001729106628242075,64.88,96.06,53.0,,,2013-04-19,3.0,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
50,AIST-2D,AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,LEO,Sun-Synchronous,0.0,471,486,0.0010951303205081406,97.28,94.18,531.0,,,2016-04-27,,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures."
51,AISTechSat-2,AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,574,592,0.0012944052926794189,97.8,96.4,2.6,,,2018-12-03,,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
52,AISTechSat-3,AISTechSat-3,Spain,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,490,506,0.0011648223645894002,97.5,94.6,2.3,,,2019-04-01,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.
53,Al Yah-3,Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,GEO,,-20.0,35777,35796,0.00022535077627412143,0.0,1436.0,3795.0,,,2018-01-25,15.0,Orbital ATK,USA,Guiana Space Center,Ariane 5,2018-012A,43174,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
54,Alcomsat (Algerian Communications Satellite),Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,,GEO,,-24.8,35744,35798,0.0006407062006122304,0.04,1436.1,5225.0,,,2017-12-10,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2017-078A,43039,Algeria's first communications satellite.
55,ALE-2 (Astro Live Experiences-2),ALE-2,NR (12/20),Japan,Astro Live Experiences,Commercial,Earth Science,,LEO,Sun-Synchronous,0.0,397,414,0.0012545199616264483,97.01,92.06,75.0,,,2019-12-06,,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.
