id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47433,SkySat 13,42987,2017-068A,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47434,Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2),42985,2017-067B,,Rocket Body,4300,Cyl,3.6,16,16,27/10/2018,58.4924538651002,10.1787601976309,50.3283143105085
47435,Mugunghwa 5A,42984,2017-067A,,Payload,3700,Box + 2 Pan,2.5,5,38,,89.7508987619171,6.25,39.4233333333333
47436,SkySat 12,42988,2017-068B,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47437,SkySat 11,42989,2017-068C,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47438,SkySat 10,42990,2017-068D,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47439,SkySat 9,42991,2017-068E,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47440,SkySat 8,42992,2017-068F,,Payload,110,Box,0.5,1.2,0.5,,1.0757,0.612,0.888013970588236
47441,Flock 3m-1,42995,2017-068J,,Payload,5,Box + 2 Pan,0.1,0.3,0.3,,0.1911,0.0223,0.107892647058823
47442,Flock 3m-3,42996,2017-068K,,Payload,5,Box + 2 Pan,0.1,0.3,0.3,,0.1911,0.0223,0.107892647058823
47443,Flock 3m-4,42997,2017-068L,,Payload,5,Box + 2 Pan,0.1,0.3,0.3,,0.1911,0.0223,0.107892647058823
47444,Flock 3m-2,42998,2017-068M,,Payload,5,Box + 2 Pan,0.1,0.3,0.3,,0.1911,0.0223,0.107892647058823
47445,Orion 38 (Taurus),42994,2017-068H,,Rocket Body,202,Cyl,1,1.4,2,,1.60525707444885,0.785398163397448,1.49225651045515
47446,Upper Bulkhead,42993,2017-068G,,Rocket Mission Related Object,35,Cyl,1.3,0.3,1.3,,1.38343271271933,0.39,0.969966731795849
47449,"OV2 1, LCS 2",,,,Payload,,,,,,,,,
47450,DSP 1 Aperture Cover,43000,1970-093D,,Payload Mission Related Object,1,Cyl,0.6,0.1,0.6,,0.289039436148121,0.06,0.188495559215388
47451,Meteor debris,42999,1974-011C,,Payload Debris,,,,,,,,,
47453,,,,133507,Unknown,,,,,,,,,
47454,,,,64906,Unknown,,,,,,,,,
47455,,,,125200,Unknown,,,,,,,,,
47456,,,,64402,Unknown,,,,,,,,,
47457,,,,116500,Unknown,,,,,,,,,
